name,agency,vote_1,vote_2,expo_1,expo_2,imp_1,imp_2,neg_1,order_name,order_agency,level_1,level_2,age,height,visual,agency_category,id,thumb_pic_url,agency_member_count,is_ranker_same_agency_1,is_ranker_same_agency_2
황리유,nh emg,27042,0,22,0,1,3,0,0,0,1,1,18,158.0,0,2,220,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/eec9441b-38be-4f35-bad3-2d5d2eaf8120-7-3-nh-emg-황리유.png,1,0,0
황세영,LOUDers(라우더스),26981,0,24,0,1,1,0,0,0,3,2,22,172.0,0,2,194,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/f81e6fc4-4975-49e7-80a5-d9a61e552d4c-6-12-LOUDers-황세영.png,3,0,0
김지성,Happyface,26566,0,0,0,1,0,0,0,0,2,4,20,169.0,1,2,147,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/39d0f5f7-421a-47f4-90a6-33692e4645f9-4-11-해피페이스-김지성.png,8,0,0
김수현,미스틱,26139,0,11,0,1,0,0,0,0,3,2,16,161.0,0,2,166,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/98bc65d0-5950-42f2-b342-1d3b10f9ec4a-5-5-미스틱-김수현.png,1,0,0
최은빈,넥스타,25659,0,32,0,1,9,0,0,0,3,3,23,163.0,0,2,198,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/e0fd80e4-4c2e-4b65-8229-c028c0906be3-6-15-넥스타-최은빈.png,2,0,0
박민지,매직 프레쉬컴퍼니,24772,0,12,0,3,5,0,0,0,4,5,17,164.0,0,2,174,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/48734b09-de9a-4ae1-b8b0-a6c44df7e183-5-14-매직프레쉬-컴퍼니-박민지.png,2,0,0
함예지,스타플레닛,24485,0,14,0,8,6,0,0,0,2,1,22,167.3,0,2,222,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/8d8cecfd-ea5b-4a8e-af18-86131f677e1f-7-5-스타플레닛-함예지.png,1,0,0
김미소,MJ ,24114,0,38,0,0,1,0,0,0,2,3,16,165.0,0,2,55,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/31dcc31c-3d5a-4c73-b881-a0634b57b0df-12.MJ-김미소.png,3,0,0
김우정,Happyface,23795,0,51,0,1,0,0,0,0,4,3,24,162.0,0,2,149,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/0f3acbda-2e58-4fda-aa10-9c3a04d9801e-4-9-해피페이스-김우정.png,8,0,0
허샘,MJ ,23722,0,8,0,1,2,0,0,0,3,1,23,166.0,0,2,53,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/2692ffb7-88cd-4e89-8c7b-60fe33435f75-14.MJ-허샘.png,3,0,0
한지연,MIDAS(마이다스) ,23566,0,2,0,1,3,0,0,0,2,1,21,167.0,0,2,94,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/7f7b3257-3bf7-4fb6-8f3c-16dcb0d9949a-3-12-마이다스-한지연.png,6,0,0
니와 시오리,MAJESTY(마제스티) ,23045,0,0,0,2,8,0,0,0,2,4,22,162.0,0,2,101,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/30f0a507-1bb4-4628-ba2b-43985ec932b7-3-13-마제스티-니와시오리.png,2,0,0
편강윤,M2 project,21908,0,4,0,4,0,0,0,0,1,1,24,167.8,0,2,223,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/fdb1149a-3f62-4edb-853e-9840f4d4b15c-7-6-M2-project-편강윤.png,1,0,0
이수현,Happyface,21762,0,26,0,2,0,0,0,0,2,4,20,161.0,1,2,145,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/c9804b51-68ad-40c8-a773-edcaa4394b75-4-13-해피페이스-이수현.png,8,0,0
김홍은,Happyface,21598,0,1,0,0,0,0,0,0,3,1,17,170.0,0,2,146,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/dc0034ec-d9d7-45d1-b087-d6d7d1aa1973-4-12-해피페이스-김홍은.png,8,0,0
김도희,블레싱  ,21485,0,8,0,0,2,0,0,0,1,1,19,165.0,0,2,193,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/5d004cdc-3456-4450-b69b-b722f5b4597f-6-5-블레싱-김도희.png,5,0,0
김설아,이큐브 미디어,21394,0,2,0,3,0,0,0,0,2,1,25,163.0,0,2,176,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/395c9535-5687-4567-9b5b-2f2145b421a2-5-15-이큐브-미디어-김설아.png,1,0,0
오한아름,블레싱  ,21245,0,9,0,0,2,0,0,0,1,1,18,162.0,0,2,189,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/81cb14fc-9b2e-4853-ba3d-5085738cf9ad-6-9-블레싱-오한아름.png,5,0,0
김윤지,Star Empire(스타제국),21206,0,43,0,0,23,0,0,0,3,4,20,156.0,0,3,92,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/10a51324-a87c-49ea-a096-9b5938b95b35-3-5-스타제국-김윤지.png,3,0,0
이서정,LOUDers(라우더스),21018,0,3,0,0,0,0,0,0,1,2,16,163.0,0,2,195,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/1c9593bb-4862-4f49-9f80-9a91684e7487-6-11-LOUDers-이서정.png,3,0,0
